"","Species","Number","Museum","AP","ML.large","ML.small","Oblique.rt","Oblique.left","ring","Species2"
"244","Pongo",50958,"MCZ",128.852,76.532,72.897,125.102,124.719,"ring7","Pongo"
"245","Pongo",2583,"CMNH",127.057,71.626,69.207,127.608,122.532,"ring7","Pongo"
"246","Pongo",1677,"AIMZ",140.861,85.603,84.425,139.277,138.684,"ring7","Pongo"
"247","Pongo",1167,"CMNH",117.459,90.344,87.648,113.454,118.045,"ring7","Pongo"
"248","Gorilla",17684,"MCZ",154.511,98.959,74.108,147.839,151.204,"ring7","Gorilla"
"249","Gorilla",2043,"MCZ",158.386,97.296,92.302,145.799,145.797,"ring7","Gorilla"
"250","Gorilla",26850,"MCZ",157.503,97.485,97.54,151.281,152.838,"ring7","Gorilla"
"251","Gorilla",29047,"MCZ",150.323,97.716,95.346,149.337,144.28,"ring7","Gorilla"
"252","Gorilla",38326,"MCZ",144.183,96.619,83.716,134.29,132.254,"ring7","Gorilla"
"253","Gorilla",1704,"CMNH",150.009,96.707,88.275,140.939,139.798,"ring7","Gorilla"
"254","Gorilla",1897,"CMNH",163.545,91.705,91.102,158.327,157.477,"ring7","Gorilla"
"255","Gorilla",1798,"CMNH",163.135,100.269,97.878,153.528,154.752,"ring7","Gorilla"
"256","Gorilla",1765,"CMNH",167.066,96.517,96.06,157.096,152.791,"ring7","Gorilla"
"257","Pan t. verus",10736,"MCZ",151.915,92.507,90.388,142.898,144.635,"ring7","Pan t."
"258","Pan t.",6244,"MCZ",158.619,85.195,71.361,146.057,146.509,"ring7","Pan t."
"259","Pan t. ellioti",1749,"CMNH",119.902,87.755,79.935,116.12,116.394,"ring7","Pan t."
"260","Pan t.",1755,"CMNH",132.44,92.645,77.336,129.077,129.042,"ring7","Pan t."
"261","Pan t.",1880,"CMNH",155.475,101.521,78.289,147.365,146.826,"ring7","Pan t."
"262","Pan t.",2823,"CMNH",115.344,78.712,73.63,113.387,110.24,"ring7","Pan t."
"263","Pan t.",1843,"CMNH",141.569,98.253,77.58,137.612,137.759,"ring7","Pan t."
"264","Pan t.",23167,"MCZ",133.105,102.221,77.961,133.763,134.363,"ring7","Pan t."
"265","Pan t.",3539,"CMNH",135.659,112.823,88.559,138.872,138.598,"ring7","Pan t."
"266","Pan t.",3551,"CMNH",131.825,88.068,68.402,116.953,121.849,"ring7","Pan t."
"267","Hylobates lar",35949,"MCZ",77.756955,49.0862304,41.9728599,68.8129182,70.2514881,"ring8","Hylobates lar"
"268","Hylobates lar",41469,"MCZ",66.561,49.605,42.516,61.191,61.749,"ring8","Hylobates lar"
